int(self),self.no_transporter,self.disturbance_cycle,tdi,self.cycle,mean_cyc_to_deliver,mean(self.residue),self.setup_file,self.item_file
0,12,100,50,691,65.2,0.458333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
1,12,100,50,771,68.76,0.357142857142857,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
2,12,100,50,624,63.98,0.222222222222222,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
3,12,100,50,698,65.52,0.345238095238095,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
4,12,100,50,747,65.66,0.428571428571429,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
5,12,100,50,803,71.8,0.447916666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
6,12,100,50,635,63.9,0.208333333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
7,12,100,50,677,67.38,0.305555555555556,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
8,12,100,50,597,68.98,0.361111111111111,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
9,12,100,50,668,66.88,0.472222222222222,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
10,12,100,50,674,69.04,0.166666666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
11,12,100,50,764,69.86,0.345238095238095,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
12,12,150,50,688,66.6,0.270833333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
13,12,150,50,781,71.9,0.266666666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
14,12,150,50,621,57.9,0.125,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
15,12,150,50,688,65.32,0.229166666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
16,12,150,50,756,70.48,0.2,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
17,12,150,50,792,70.72,0.116666666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
18,12,150,50,660,67.84,0.166666666666667,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
19,12,150,50,699,65.9,0.145833333333333,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
