int(self),self.no_transporter,self.disturbance_cycle,tdi,self.cycle,mean_cyc_to_deliver,mean(t_avgs),mean(self.residue),self.anticipation_increase,self.setup_file,self.item_file
0,12,100,50,789,72.22,38.9412698412698,0.19047619047619,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
1,12,100,50,792,74.6,40.5587301587302,0.119047619047619,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
2,12,100,50,935,75,45.8191468253968,0.166666666666667,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
3,12,100,50,678,58.12,28.5138888888889,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
4,12,100,50,950,79.76,46.6770833333333,0.305555555555556,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
5,12,100,50,1643,238.2,65.3164682539682,0.703125,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
6,12,100,50,698,61.84,46.1180555555556,0.047619047619048,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
7,12,100,50,1114,146.88,62.9811507936508,0.462121212121212,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
8,12,100,50,858,100.18,50.1666666666667,0.270833333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
9,12,100,50,670,54.38,30.65,0.013888888888889,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
10,12,100,50,862,92.3,42.5956349206349,0.177083333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
11,12,100,50,1058,132.98,57.094246031746,0.358333333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
12,12,150,50,852,78.14,60.8652777777778,0.083333333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
13,12,150,50,947,80.28,75.5930555555556,0.111111111111111,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
14,12,150,50,682,60.8,45.2847222222222,0.041666666666667,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
15,12,150,50,900,73.82,54.5625,0.208333333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
16,12,150,50,887,95.2,55.9180555555556,0.083333333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
17,12,150,50,973,134.12,77.4333333333333,0.263888888888889,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
18,12,150,50,620,54.58,45.2916666666667,0.020833333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
19,12,150,50,859,88.52,68.2791666666667,0.083333333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
20,12,150,50,661,53.7,29.2916666666667,0.020833333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
21,12,150,50,688,70.38,67.4861111111111,0.083333333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
22,12,150,50,789,77.62,39.4444444444444,0.2,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
23,12,150,50,735,67.44,59.7291666666667,0.041666666666667,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
24,12,200,50,731,50.02,44.25,0.027777777777778,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
25,12,200,50,619,47.72,46.375,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
26,12,200,50,684,56.7,42.5972222222222,0.027777777777778,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
27,12,200,50,823,59.86,57.1111111111111,0.020833333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
28,12,200,50,918,71.64,62.5972222222222,0.020833333333333,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
29,12,200,50,595,53.7,34.375,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
30,12,200,50,788,95.6,60.3611111111111,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
31,12,200,50,627,48.24,39.2083333333333,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
32,12,200,50,811,55.64,47.3472222222222,0.0625,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
33,12,200,50,781,59.3,88.4444444444445,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
34,12,200,50,911,62.94,66.8819444444444,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
35,12,200,50,713,59.42,46.6388888888889,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
36,12,250,50,752,54.98,47.5,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
37,12,250,50,693,50.06,44.7083333333333,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
38,12,250,50,744,58.74,66.0833333333333,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
39,12,250,50,631,56,45.5,0,0.01,../includes/setup_smartphone2.csv,../includes/orderedItems50.csv
